itemName
가레오연질캡슐(디히드록시디부틸에테르)
가레오연질캡슐500밀리그램(디히드록시디부틸에테르)
"가소콜액(시메티콘)(군납용 : 시메티콘현탁액500밀리리터, SimethiconeOralSuspension500ml)"
가스제로구강필름(시메치콘)
갈타제산(베타-갈락토시다제(아스퍼길루스))
감바로과립
게루삼엠정(건조수산화알루미늄겔)
게루삼정
게보린정(수출명:돌로린정)
겔포스엠현탁액
겔포스현탁액(인산알루미늄겔)
겟투겔(케토프로펜)
고닐고포르테경고제
고려아시클로버크림(아시클로버)(수출명:바이락스크림(VIRAXCream)이노바이락스5%크림(INNOVIRAX5%Cream)
골사민캡슐(결정글루코사민황산염)(수출명 : NEOCOMIN)
구미태고액1%(알킬디아미노에틸글리신염산염액)
구미포비돈요오드액
구주로라타딘정10밀리그람(수출명:로히스타정)
국제아시클로버크림
그랑페롤연질캡슐1000아이유(비타민이프리퍼레이션)
그랑페롤연질캡슐400아이유(비타민이프리퍼레이션)(군납명:토코페롤연질캡슐400아이유100캡슐)
그루타제정
그리펜-에스정(덱시부프로펜)
그린관장약(농글리세린)(수출명:FIT-APO)
그린큐액(돔페리돈)
그린클로르헥시딘크림(클로르헥시딘글루콘산염액)
그린태고액1%(알킬디아미노에틸글리신염산염액)
그린포비돈세정액(포비돈요오드)
그린포비돈요오드액(수출명 : Green Povidone-Iodine Topical Solution)
글루100정(글루타티온(환원형))
글루디톡정(글루타티온(환원형))
글루콤액
기가에이연질캡슐
기공활혈고(수입명:CHIKUNGHUOSHIUEHKAO)
기노엘연질캡슐(L-시스틴)
까스명수에프액
까스활명수큐액
나노텍정(세티리진염산염)
나니실크림(테르비나핀염산염)
나로펜정(나프록센나트륨)
나르비크림1%(테르비나핀염산염)
나르펜정400밀리그램(이부프로펜)(수출명:PANALTab.)
"나리스타에스점비액(수출명:듀라존점비액,나소존점비액)"
나무졸크림(테르비나핀염산염)
나미솔크림(테르비나핀염산염)
나미진크림(테르비나핀염산염)
나바론크림(디클로페낙디에틸암모늄)
나박점안액(엔-아세틸아스파틸글루타민산나트륨)
나스타제정
나오덤크림(구아야줄렌)
나우쿨카타플라스마
"나조린점안액(1회용),나조린점안액"
나졸액(케토코나졸)
나콜플러스시럽
나프롱정(나프록센나트륨)
낙센정(나프록센)
냉감한생고카타플라스마
네오시덤연고(퓨시드산나트륨)
네오퀸크림4%(히드로퀴논)
네프비타정
넥스팜염산암부록솔정(암브록솔염산염)
넥스팜탄산칼슘정(침강탄산칼슘)
넬슨로라타딘정
넬슨이부프로펜정200밀리그램(이부프로펜)
넬슨이부프로펜정400밀리그램(이부프로펜)
노루모현탁액
노리스정(클로닉신리시네이트)
노바손크림
노스카연고
노원질좌제100밀리그램(노녹시놀9)
노타민정(로라타딘)
노텍정(세티리진염산염)
녹십자아시클로버크림
녹십자제놀카타플라스마
뇌선
뇌신에이산
"누마렌점안액(1회용),누마렌점안액"
누보클렌액
누코미트액(아세틸시스테인)
누코미트캡슐200밀리그램(아세틸시스테인)
뉴란타액(수출명:NewlantineSuspension)
뉴시크릿데이러브중형
뉴펜겔(케토프로펜)
니코스탑-10패취(니코틴)
니코스탑-20패취(니코틴)
니코스탑-30패취(니코틴)
니코틴엘TTS10(니코틴)
니코틴엘TTS20(니코틴)
니코틴엘TTS30(니코틴)
니트나졸크림(케토코나졸)
다이야펜정400밀리그램(이부프로펜)
다이제스트정
다이제틴정
다이투스정(암브록솔염산염)
다제스캡슐
다펜캡슐(이부프로펜)(수출용)
닥스펜정(덱시부프로펜)
"대우로라타딘정(수출명:로미딘정,라틴정,필미딘정)"
대웅우루사연질캡슐
대웅이부펜시럽(이부프로펜)(수출명:SOTSTOPsyrup)
대원알마게이트정
대한관류용멸균증류수
대한염화나트륨액
대화아시클로버크림
"대화이부프로펜정400밀리그램(수출명:UPRO400,IBUFEN)"
더마쎄지크림
더마크린에취씨로션1%(히드로코르티손)
더모픽스크림(세르타코나졸질산염)
더블유녹스정(글루타티온(환원형))
데나실크림(테르비나핀염산염)
데마코트에스크림
데카미솔연고
데카키논캡슐(유비데카레논)
데코라펜정(덱시부프로펜)
덱사톱크림(덱사메타손프로피오네이트)
덱사펜정(덱시부프로펜)
덱스핀정(덱시부프로펜디.씨)
덴스롤캡슐
덴스민캡슐
덴타포스캡슐
"도미나크림(히드로퀴논)(수출명:폴리퀸포르테4%크림,DarkfreeCream4%,태극도미나크림)"
동광세티리진염산염정
동화덴스톨캡슐
동화후시딘크림(퓨시드산수화물)
듀라티얼즈안연고(무수액체라놀린)
듀오락스정
드리클로액(염화알루미늄수화물)
득생만통고
디디엘첩부제(디클로페낙디에틸암모늄)(수출명:DICLOPLASTER PATCH)
디크로닉정(클로닉신리시네이트)
디크로닉정250밀리그램(클로닉신리시네이트)(수출용)
디펜겔(디클로페낙나트륨)
디펜롱액(리도카인(수출명:LIDOLONG))
디퓨탭서방정(이부프로펜)
디프로펜정300밀리그램(덱시부프로펜디.씨.)
라니텐크림(테르비나핀염산염)
라리세틴정10밀리그람(세티리진염산염)(수출용)
